EBV class,EBV name
Genetic composition,Genetic diversity (richness and heterozygosity)
,Genetic differentiation (number of genetic units and genetic distance)
,Effective population size
,Inbreeding
Species populations,Species distributions
,Species abundances
Species traits,Morphology
,Physiology
,Phenology
,Movement
Community composition,Community abundance
,Taxonomic/phylogenetic diversity
,Trait diversity
,Interaction diversity
Ecosystem functioning,Primary productivity
,Ecosystem phenology
,Ecosystem disturbances
Ecosystem structure,Live cover fraction
,Ecosystem distribution
,Ecosystem Vertical Profile
