xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,calendar_date,tile,proc_date,pixel,value
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000049,2000-02-18,h19v12,2015136104729,1,7732
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000065,2000-03-05,h19v12,2015136023221,1,7913
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000081,2000-03-21,h19v12,2015136040913,1,8106
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000097,2000-04-06,h19v12,2015136040622,1,8068
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000113,2000-04-22,h19v12,2015137042903,1,8244
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000129,2000-05-08,h19v12,2015137053039,1,8276
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000145,2000-05-24,h19v12,2015137094752,1,8089
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000161,2000-06-09,h19v12,2015137050919,1,7560
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000177,2000-06-25,h19v12,2015138070933,1,7607
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000193,2000-07-11,h19v12,2015138075221,1,8353
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000209,2000-07-27,h19v12,2015138073944,1,7955
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000225,2000-08-12,h19v12,2015138074423,1,7953
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000241,2000-08-28,h19v12,2015138080645,1,8264
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000257,2000-09-13,h19v12,2015139074355,1,7596
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000273,2000-09-29,h19v12,2015139081511,1,7109
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000289,2000-10-15,h19v12,2015139084327,1,7604
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000305,2000-10-31,h19v12,2015139075208,1,7516
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000321,2000-11-16,h19v12,2015139221848,1,7236
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000337,2000-12-02,h19v12,2015140084552,1,7709
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2000353,2000-12-18,h19v12,2018222145720,1,7269
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2001001,2001-01-01,h19v12,2015140082100,1,7280
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2001017,2001-01-17,h19v12,2015140092214,1,7868
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2001033,2001-02-02,h19v12,2015141153041,1,7284
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2001049,2001-02-18,h19v12,2015142165828,1,7533
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2001065,2001-03-06,h19v12,2015142182719,1,7607
1884292.85,-3823719.85,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.386014,20.534986,invasion,MOD13Q1,2000-01-01,2021-12-31,TRUE,A2001081,2001-03-22,h19v12,2015142190117,1,7886
