xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,calendar_date,tile,proc_date,pixel,value
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000049,2000-02-18,h19v12,2015136104729,1,6845
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000065,2000-03-05,h19v12,2015136023221,1,6632
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000081,2000-03-21,h19v12,2015136040913,1,6947
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000097,2000-04-06,h19v12,2015136040622,1,6934
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000113,2000-04-22,h19v12,2015137042903,1,7006
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000129,2000-05-08,h19v12,2015137053039,1,6967
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000145,2000-05-24,h19v12,2015137094752,1,7209
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000161,2000-06-09,h19v12,2015137050919,1,7135
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000177,2000-06-25,h19v12,2015138070933,1,6760
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000193,2000-07-11,h19v12,2015138075221,1,7179
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000209,2000-07-27,h19v12,2015138073944,1,7588
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000225,2000-08-12,h19v12,2015138074423,1,7097
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000241,2000-08-28,h19v12,2015138080645,1,7138
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000257,2000-09-13,h19v12,2015139074355,1,7080
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000273,2000-09-29,h19v12,2015139081511,1,6042
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000289,2000-10-15,h19v12,2015139084327,1,6540
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000305,2000-10-31,h19v12,2015139075208,1,6516
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000321,2000-11-16,h19v12,2015139221848,1,6307
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000337,2000-12-02,h19v12,2015140084552,1,6223
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2000353,2000-12-18,h19v12,2018222145720,1,6040
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001001,2001-01-01,h19v12,2015140082100,1,6024
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001017,2001-01-17,h19v12,2015140092214,1,6434
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001033,2001-02-02,h19v12,2015141153041,1,6724
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001049,2001-02-18,h19v12,2015142165828,1,6737
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001065,2001-03-06,h19v12,2015142182719,1,6199
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001081,2001-03-22,h19v12,2015142190117,1,6790
